,N,Promedio Tiempo sin Filtro,DS Tiempo sin Flitro,Promedio Tiempo con Filtro,DS Tiempo con Flitro,Promedio Cantidad de Errores,DS Cantidad de Errores
0,1024,14.485213733333998,0.5298147622306858,8.638474966667369,0.5346567048578096,40.333333333333336,4.189935029992179
1,2048,21.124103733333566,6.652896860377276,12.570362516666137,3.961189001087988,59.5,20.12254125767088
2,4096,32.46270098888959,16.952544767715267,19.257767377777782,9.998747503848156,90.66666666666667,47.43650727258724
3,8192,51.767413616667305,36.54918068888353,30.867622308333313,21.906324254681202,146.5,105.12016933015282
4,16384,84.45360560000093,73.09063631358565,50.510123020000655,43.900546246039,243.93333333333334,216.47647036623223
5,32768,148.96916001666756,159.00880695518487,89.91388720000032,96.79535082557108,405.22222222222223,412.1365140009309
